Webpage,Organization,Camp Name,Camp Description,Start Age,End Age,Start Grade,End Grade,Start Date,End Date,Start Time,End Time,Pre/After Care,Registration,Cost,Location,City,Notes
https://www.facebook.com/ACEquestrians/,AC Equestrians,,,,,,,,,,,,,,,Hinesburg,
,Aikido of Champlain Valley,,,7,12,2,6,,,,,,,,,,
https://alisakresgebasketballcamp.com/camps/,Alisa Kresge Basketball Camp @ UVM,,,6,15,1,9,,,,,,,"ost: per week of Day Camp
(A non-refundable deposit of $75 per session is required.)
Cost: per week of Day Camp
(A non-refundable deposit of $75 per session is required.)
Cost: $75 per week of Day Camp
(A non-refundable deposit of $25 per is required.)",UVM,,
https://alisakresgebasketballcamp.com/camps/,Alisa Kresge Basketball Camp @ UVM,,,,,,,,,,,,,,,,
https://www.alltogethernowvt.org/summer_camps.html,AllTogetherNow,,,6,12,1,6,,,,,,,,,,
https://www.hsccvt.org/animal-welfare-warriors,Animal Welfare Warriors (Chittenden Humane Society),,,13,15,8,9,,,,,,"December 16th, 2024",$300,142 Kindness Court,South Burlington,
,Arbaseque Etc.,,,,,,,,,,,,Now? Unclear,160. *Pre- camp care (8AM-9AM): $10/day,,Richmond,
https://www.arrowheadforestfarm.com/summercamp,Arrowhead Forest Farm,,,,,,,,,,,,,$45/day | $60/day with late pick up option,209 Rt 7 N,Milton,
https://www.aspeneaststablesvt.com/camps,Aspen East Stables,,Our program is built and staffed by experienced trainers and knowledgeable care providers who are excited to share their knowledge with the next generation of horse enthusiasts! ,6,17,1,11,8/10/2026,8/14/2026,09:00 AM,02:00 PM,,,$500,15 Nathan Lane,Jericho,
https://vt.audubon.org/programs/summer-day-camps,Audobon Vermont,?,,3,5,,,6/22/2026,6/26/2026,,,,,$160 half day/week $300/full day per week,255 Sherman Hollow Rd,Huntington,
https://vt.audubon.org/programs/summer-day-camps,Audobon Vermont,?,,3,5,,,6/29/2026,7/3/2026,,,,,$160 half day/week $300/full day per week,255 Sherman Hollow Rd,Huntington,
https://vt.audubon.org/programs/summer-day-camps,Audobon Vermont,?,,3,5,,,7/6/2026,7/10/2026,,,,,$160 half day/week $300/full day per week,255 Sherman Hollow Rd,Huntington,
https://vt.audubon.org/programs/summer-day-camps,Audobon Vermont,?,,3,5,,,7/13/2026,7/17/2026,,,,,$160 half day/week $300/full day per week,255 Sherman Hollow Rd,Huntington,
https://vt.audubon.org/programs/summer-day-camps,Audobon Vermont,?,,3,5,,,7/27/2026,7/31/2026,,,,,$160 half day/week $300/full day per week,255 Sherman Hollow Rd,Huntington,
https://vt.audubon.org/programs/summer-day-camps,Audobon Vermont,?,,3,5,,,8/3/2026,8/7/2026,,,,,$160 half day/week $300/full day per week,255 Sherman Hollow Rd,Huntington,
https://vt.audubon.org/programs/summer-day-camps,Audobon Vermont,?,,3,5,,,8/10/2026,8/14/2026,,,,,$160 half day/week $300/full day per week,255 Sherman Hollow Rd,Huntington,
https://vt.audubon.org/programs/summer-day-camps,Audobon Vermont,?,,3,5,,,8/17/2026,8/12/2026,,,,,$160 half day/week $300/full day per week,255 Sherman Hollow Rd,Huntington,
https://www.boltonvalley.com/summer/summer-camps/,Bolton Valley Resort,Mountain Kids Camp,"Looking for the ultimate outdoor summer camp? You came to the right place! Together we’ll ride, swim, jump & hike all around thousands of acres of Bolton Valley wilderness. Our camps are packed with thrilling activities and classic games like soccer, tennis, volleyball, disc golf, manhunt and more! Plus, everyone gets the chance to cool off in our outdoor pool!",7,14,2,8,,,09:00 AM,04:00 PM,,,,,Bolton,
https://www.boltonvalley.com/summer/summer-camps/,Bolton Valley Resort,Mountain Bike Camp,"Looking for the ultimate outdoor summer camp? You came to the right place! Together we’ll ride, swim, jump & hike all around thousands of acres of Bolton Valley wilderness. Our camps are packed with thrilling activities and classic games like soccer, tennis, volleyball, disc golf, manhunt and more! Plus, everyone gets the chance to cool off in our outdoor pool!",7,14,2,8,,,09:00 AM,04:00 PM,,,,,Bolton,
https://www.bandgclub.org/summercamp,Boys and Girls club of Burlington,,,6,14,1,8,,,,,,"2025 dates not available online
Signups appear to start in February through April",,,,
