Name,Organization,Supervisory Union,Address,City,State,Zip,County,Phone,Email,Website,Grades Min,Grades Max,Hours,Session Type,Description,Subjects,Funding Source,orgId
Burlington High School 21C,Burlington School District,Burlington School District,52 Institute Road,Burlington,VT,05401,Chittenden,802-864-8461,,,9,12,3:00 PM - 6:00 PM,School Year Only,Federally funded afterschool program serving high school students in Burlington. Provides academic support and enrichment activities through the 21st Century Community Learning Centers grant.,Afterschool|Free|21CCLC|Academic Support|Enrichment,21st Century Community Learning Centers (Federal),burlington-sd
C.P. Smith Elementary 21C,Burlington School District,Burlington School District,244 North Winooski Ave,Burlington,VT,05401,Chittenden,802-864-8461,,,K,5,3:00 PM - 6:00 PM,School Year Only,Federally funded afterschool program at C.P. Smith Elementary serving elementary students in Burlington. Academic support tutoring and enrichment activities.,Afterschool|Free|21CCLC|Academic Support|Elementary,21st Century Community Learning Centers (Federal),burlington-sd
Champlain Elementary 21C,Burlington School District,Burlington School District,225 North Ave,Burlington,VT,05401,Chittenden,802-864-8461,,,K,5,3:00 PM - 6:00 PM,School Year Only,Federally funded afterschool program at Champlain Elementary. Provides academic support and enrichment for elementary-age students in Burlington.,Afterschool|Free|21CCLC|Academic Support|Elementary,21st Century Community Learning Centers (Federal),burlington-sd
Edmunds Elementary 21C,Burlington School District,Burlington School District,275 Main St,Burlington,VT,05401,Chittenden,802-864-8461,,,K,5,3:00 PM - 6:00 PM,School Year Only,Federally funded afterschool program at Edmunds Elementary. Offers tutoring homework help and enrichment activities for Burlington elementary students.,Afterschool|Free|21CCLC|Academic Support|Elementary,21st Century Community Learning Centers (Federal),burlington-sd
Edmunds Middle School 21C,Burlington School District,Burlington School District,275 Main St,Burlington,VT,05401,Chittenden,802-864-8461,,,6,8,3:00 PM - 6:00 PM,School Year Only,Federally funded afterschool program at Edmunds Middle School. Academic support and enrichment for Burlington middle school students.,Afterschool|Free|21CCLC|Academic Support|Middle School,21st Century Community Learning Centers (Federal),burlington-sd
Integrated Arts Academy at H.O. Wheeler 21C,Burlington School District,Burlington School District,6 Archibald St,Burlington,VT,05401,Chittenden,802-864-8461,,,K,5,3:00 PM - 6:00 PM,School Year Only,Federally funded afterschool program at the Integrated Arts Academy at H.O. Wheeler Elementary. Arts-integrated academic support and enrichment for Burlington students.,Afterschool|Free|21CCLC|Academic Support|Arts|Elementary,21st Century Community Learning Centers (Federal),burlington-sd
J.J. Flynn Elementary 21C,Burlington School District,Burlington School District,3 Flynn Ave,Burlington,VT,05401,Chittenden,802-864-8461,,,K,5,3:00 PM - 6:00 PM,School Year Only,Federally funded afterschool program at J.J. Flynn Elementary. Provides homework help tutoring and enrichment for Burlington elementary students.,Afterschool|Free|21CCLC|Academic Support|Elementary,21st Century Community Learning Centers (Federal),burlington-sd
Lyman C. Hunt Middle School 21C,Burlington School District,Burlington School District,3 Fern St,Burlington,VT,05401,Chittenden,802-864-8461,,,6,8,3:00 PM - 6:00 PM,School Year Only,Federally funded afterschool program at Lyman C. Hunt Middle School. Academic support enrichment and college-readiness activities for Burlington middle schoolers.,Afterschool|Free|21CCLC|Academic Support|Middle School,21st Century Community Learning Centers (Federal),burlington-sd
Sustainability Academy at Barnes 21C,Burlington School District,Burlington School District,275 North St,Burlington,VT,05401,Chittenden,802-864-8461,,,K,5,3:00 PM - 6:00 PM,School Year Only,Federally funded afterschool program at the Sustainability Academy at Barnes. Sustainability-themed academic support and enrichment for Burlington elementary students.,Afterschool|Free|21CCLC|Academic Support|Sustainability|Elementary,21st Century Community Learning Centers (Federal),burlington-sd
Winooski Schools 21C,Winooski School District,Winooski School District,,Winooski,VT,05404,Chittenden,802-655-3500,,,K,12,3:00 PM - 6:00 PM,School Year Only,Federally funded 21st Century Community Learning Centers afterschool program serving students across Winooski schools. Provides academic support enrichment and family engagement.,Afterschool|Free|21CCLC|Academic Support|Enrichment,21st Century Community Learning Centers (Federal),winooski-sd
