"Provider ID","Provider Case","Provider Name","License ID","Current License Start Date","Current License End Date","License Type","Provider Program Type","Address 1","Address 2","Provider Town","Zip Code","Phone Number","Email Address","County","AHS District","Total Licensed Capacity","Infant Licensed Capacity","Toddler Licensed Capacity","Preschool Licensed Capacity","School Age Licensed Capacity","Special Services Status","Provider Referral Status","Current STARS Level","Reported Food Program Participation","Accreditation","Accreditation Start Date","Accreditation End Date","Reported Infant Vacancies","Reported Toddler Vacancies","Reported Preschool Vacancies","Reported School Age Vacancies","Special Schedule","Usual Program Start","Usual Program End","Prequalified Prekindgarten Program","Prequalified Prekindgarten Start Date","Prequalified Prekindgarten End Date"
"147251","187282","Barstow, Betsy","70354","04/09/2023","04/04/2026","Registered Home","Registered FCCH","980 Sodom Pond Rd.",,"East Montpelier","05640","8022233311","aminata@ezcloud.com","Washington","MDO","10","2","2","2","4","Yes","Active","5 Star","Yes",,,,"0","0","0","0","School Year Only","8:30:00 AM","1:30:00 PM","Prequalified PreK Program - Privately Operated","2025 Jun 30 12:00:00 AM","2028 Jun 30 12:00:00 AM"
"135526","87170","CU2 ChildCare, LLC (Children Unlimited)","39747","11/16/2025","11/11/2028","Licensed Provider","CBCCPP","35 Dorset Lane",,"Williston","05495","8028785899","office@childrenunlimitedvt.com","Chittenden","BDO","70","20","10","35","5","Yes","Active","4 Star","No",,,,"0","0","0","0",,"7:00:00 AM","5:00:00 PM","Prequalified PreK Program - Privately Operated","2024 Jun 30 12:00:00 AM","2028 Jun 30 12:00:00 AM"
"87937","44539","Champlain Islands Parent Child Center-South","33180","11/16/2025","11/11/2028","Licensed Provider","CBCCPP","114 South Street",,"South Hero","05486","8023724704","katie.brown@cipcc.org","Grand Isle","ADO","86","16","8","42","20","Yes","Active","5 Star","No",,,,"0","0","0","0","In-Service Days","7:30:00 AM","4:30:00 PM","Prequalified PreK Program - Privately Operated","2024 Jan 25 12:00:00 AM","2028 Jun 30 12:00:00 AM"
"4517","3292","Creative Preschool Program","1829","11/30/2025","11/25/2028","Licensed Provider","CBCCPP","238 VT Rte 132","Newton School","Strafford","05070","8027654311","straffordcp.info@gmail.com","Orange","HDO","18","0","0","18","0","Yes","Active","5 Star","No",,,,"0","0","0","0","School Year Only","7:45:00 AM","3:30:00 PM","Prequalified PreK Program - Privately Operated","2024 May 10 12:00:00 AM","2028 Jun 30 12:00:00 AM"
"443084","403080","Future Einsteins, LLC-Williston","86816","08/25/2024","08/21/2027","Licensed Provider","CBCCPP","143 Windridge",,"Williston","05495","8026624751","futureeinsteins@myfairpoint.net","Chittenden","BDO","35","0","0","25","10","Yes","Active","4 Star","No",,,,"0","0","12","5",,"8:00:00 AM","5:30:00 PM","Prequalified PreK Program - Privately Operated","2025 Jun 30 12:00:00 AM","2028 Jun 30 12:00:00 AM"
"469501","428342","LJD LLC","91818","12/14/2025","12/09/2028","Licensed Provider","CBCCPP","45 Avenue D",,"Williston","05495","8028601151","ljdllc25@gmail.com","Chittenden","BDO","140","32","20","65","23","Yes","Active","5 Star","No",,,,"0","0","0","0",,"7:30:00 AM","5:00:00 PM","Prequalified PreK Program - Privately Operated","2025 Dec 10 12:00:00 AM","2028 Jun 30 12:00:00 AM"
"462202","420377","Little One's University Williston","90683","08/25/2024","08/21/2027","Licensed Provider","CBCCPP","620 Lawrence Place",,"Williston","05495","8028727444","littleonesuniversity@gmail.com","Chittenden","BDO","106","25","40","41","0","Yes","Active","4 Star","No",,,,"0","0","7","0",,"7:30:00 AM","4:30:00 PM","Prequalified PreK Program - Privately Operated","2025 Aug 19 12:00:00 AM","2028 Jun 30 12:00:00 AM"
"3750","2672","Nadeau's Playschool","1639","11/16/2025","11/11/2028","Licensed Provider","CBCCPP","907 Marshal Avenue",,"Williston","05495","8026529800","nadeausplayschool@yahoo.com","Chittenden","BDO","102","36","20","40","6","Yes","Active","4 Star","No",,,,"1","0","0","0",,"7:00:00 AM","5:15:00 PM","Prequalified PreK Program - Privately Operated","2024 Feb 01 12:00:00 AM","2027 Jun 30 12:00:00 AM"
"4271","3082","Orchard Valley Waldorf School","1781","03/12/2023","03/07/2026","Licensed Provider","CBCCPP","2290 VT Rte 14 N",,"East Montpelier","05651","8024567400","oakley.t@ovws.org","Washington","MDO","34","0","0","30","4","Yes","Active","4 Star","No",,,,"0","0","0","0","School Year Only","8:15:00 AM","3:00:00 PM","Prequalified PreK Program - Privately Operated","2025 Jan 10 12:00:00 AM","2028 Jun 30 12:00:00 AM"
"460624","418643","Rainbow Gardens","89616","01/30/2026","08/22/2026","Licensed Provider","CBCCPP","168 North Main Street","Suite 4","Northfield","05663","8027984430","office@rainbowgardensvt.org","Washington","MDO","45","0","20","25","0","Yes","Active","3 Star","No",,,,"0","0","0","0","School Year Only","8:30:00 AM","3:30:00 PM","Prequalified PreK Program - Privately Operated","2025 May 12 12:00:00 AM","2028 Jun 30 12:00:00 AM"
