"Provider ID","Provider Case","Provider Name","License ID","Current License Start Date","Current License End Date","License Type","Provider Program Type","Address 1","Address 2","Provider Town","Zip Code","Phone Number","Email Address","County","AHS District","Total Licensed Capacity","Infant Licensed Capacity","Toddler Licensed Capacity","Preschool Licensed Capacity","School Age Licensed Capacity","Special Services Status","Provider Referral Status","Current STARS Level","Reported Food Program Participation","Accreditation","Accreditation Start Date","Accreditation End Date","Reported Infant Vacancies","Reported Toddler Vacancies","Reported Preschool Vacancies","Reported School Age Vacancies","Special Schedule","Usual Program Start","Usual Program End","Prequalified Prekindgarten Program","Prequalified Prekindgarten Start Date","Prequalified Prekindgarten End Date"
"88887","45209","Allen Brook School","32502","11/16/2025","11/11/2028","Licensed Provider","CBCCPP","497 Talcott Road",,"Williston","05495","8028716236","egagne@cvsdvt.org","Chittenden","BDO","30","0","0","30","0","No","Active","5 Star","No",,,,"0","0","0","0",,"7:45:00 AM","10:45:00 AM","Prequalified PreK Program - Public School","2024 Jun 30 12:00:00 AM","2028 Jun 30 12:00:00 AM"
"243566","170804","Bethel Elementary Preschool","66734","08/13/2023","08/08/2026","Licensed Provider","CBCCPP","273 Pleasant Street",,"Bethel","05032","8022346607","abowen@wrvsu.org","Windsor","HDO","35","0","0","35","0","No","Active","4 Star","Yes",,,,"0","0","0","0","School Year Only","7:45:00 AM","2:45:00 PM","Prequalified PreK Program - Public School","2024 Jun 30 12:00:00 AM","2028 Jun 30 12:00:00 AM"
"3382","2414","CCSU Twinfield Preschool","1476","03/26/2023","03/21/2026","Licensed Provider","CBCCPP","106 Nasmith Brook Road",,"Plainfield","05667","8026843801","bethany.hale@ccsuvt.net","Washington","MDO","30","0","0","30","0","No","Active","4 Star","No",,,,"0","0","0","0",,"8:00:00 AM","3:00:00 PM","Prequalified PreK Program - Public School","2024 Jul 01 12:00:00 AM","2028 Jun 30 12:00:00 AM"
"56037","25894","East Montpelier Elementary Preschool","18537","02/12/2023","02/07/2026","Licensed Provider","CBCCPP","665 Vincent Flats Road",,"East Montpelier","05651","8022237936","alyford@u32.org","Washington","MDO","33","0","0","33","0","Yes","Active","5 Star","No",,,,"0","0","4","0",,"7:30:00 AM","5:30:00 PM","Prequalified PreK Program - Public School","2024 May 20 12:00:00 AM","2028 Jun 30 12:00:00 AM"
"3604","2572","Fayston Elementary School Preschool","1578","10/05/2025","09/30/2028","Licensed Provider","CBCCPP","782 German Flats Road",,"Fayston","05673","8024963636","jboyden@huusd.org","Washington","MDO","20","0","0","20","0","No","Active","5 Star","No",,,,"0","0","9","0","School Year Only","7:30:00 AM","2:30:00 PM","Prequalified PreK Program - Public School","2024 Jun 30 12:00:00 AM","2029 Jun 30 12:00:00 AM"
"458830","416697","First Branch PreK Program","89620","09/20/2025","08/22/2026","Licensed Provider","CBCCPP","6 School Street",,"Chelsea","05038","8026854551","lellis@wrvsu.org","Orange","HDO","15","0","0","15","0","No","Active","4 Star","No",,,,"0","0","0","0",,,,"Prequalified PreK Program - Public School","2023 Oct 30 12:00:00 AM","2026 Jun 30 12:00:00 AM"
"3074","2183","Moretown Elementary School Preschool","1296","10/05/2025","09/30/2028","Licensed Provider","CBCCPP","940 Route 100B",,"Moretown","05660","8024963742","Kliptak@huusd.org","Washington","MDO","40","0","0","40","0","No","Active","5 Star","Yes",,,,"0","0","2","0","School Year Only","7:30:00 AM","2:30:00 PM","Prequalified PreK Program - Public School","2024 Apr 08 12:00:00 AM","2029 Jun 30 12:00:00 AM"
"3869","2770","Northfield Elementary School Pre-K","1668","11/02/2025","10/28/2028","Licensed Provider","CBCCPP","10 Cross Street",,"Northfield","05663","8024856161","dpalmer@cvsu.org","Washington","MDO","65","0","0","65","0","No","Active","5 Star","No",,,,"0","0","0","0",,"7:45:00 AM","2:45:00 PM","Prequalified PreK Program - Public School","2024 Feb 12 12:00:00 AM","2027 Jun 30 12:00:00 AM"
"306200","241834","OSSD Braintree Early Education Program","79114","07/14/2024","07/10/2027","Licensed Provider","CBCCPP","66 Bent Hill Road",,"Braintree","05060","8027289373","rdrury@orangesouthwest.org","Orange","MDO","20","0","0","20","0","No","Active","4 Star","No",,,,"0","0","1","0",,"7:30:00 AM","2:15:00 PM","Prequalified PreK Program - Public School","2024 Mar 19 12:00:00 AM","2027 Jun 30 12:00:00 AM"
"362620","312031","OSSD Brookfield Early Education Program","82734","08/10/2025","08/05/2028","Licensed Provider","CBCCPP","1728 N Ridge Road",,"Brookfield","05036","8022763153","slanglois@orangesouthwest.org","Orange","MDO","20","0","0","20","0","No","Inactive","4 Star","Yes",,,,"0","0","2","0",,,,"Prequalified PreK Program - Public School","2024 Feb 21 12:00:00 AM","2027 Jun 30 12:00:00 AM"
"286022","213156","OSSD Early Education Program","75534","01/28/2024","01/23/2027","Licensed Provider","CBCCPP","40 Ayers Brook Road",,"Randolph","05060","8027286732","amcfadyen@orangesouthwest.org","Orange","HDO","40","0","0","40","0","No","Active","5 Star","Yes",,,,"0","0","0","0","School Year Only","8:00:00 AM","2:30:00 PM","Prequalified PreK Program - Public School","2024 May 20 12:00:00 AM","2027 Jun 30 12:00:00 AM"
